Actual_Drop_Off,Predicted_Drop_Off,Actual_Conversion_Efficiency,Predicted_Conversion_Efficiency
1,1,0.17,0.1709628
1,1,0.07,0.06625575
0,0,0.01,0.014474668
1,1,0.11,0.10742833
0,0,0.03,0.031027632
1,1,0.12,0.1136207
1,1,0.08,0.07692513
1,1,0.05,0.047094554
1,1,0.13,0.12644552
0,0,0,0.004967898
1,1,1.3,1.3019215
1,1,0.05,0.047289565
1,1,0.04,0.03930208
0,0,0.05,0.046891257
1,1,0.22,0.2198119
0,0,0.04,0.034328945
1,1,0.23,0.23118971
1,1,0.11,0.10638988
1,1,0.14,0.14134088
1,1,0.29,0.29254353
1,1,0.1,0.096837744
1,1,3.4,3.4051244
1,1,0.15,0.1463464
0,0,0.02,0.024355046
1,1,0.11,0.11223377
1,1,0.17,0.17549911
0,0,0.01,0.018487751
1,1,0.18,0.18491171
1,1,0.17,0.16712095
1,1,0.29,0.2899434
1,1,0.1,0.0980908
1,1,0.09,0.088449225
1,1,0.04,0.039274022
1,1,0.23,0.22680901
1,1,0.13,0.1296486
0,0,0.03,0.031461447
1,1,0.41,0.4040178
1,1,0.15,0.15177606
1,1,0.12,0.11391528
1,1,0.28,0.2790464
1,1,0.18,0.18442751
1,1,0.15,0.15518259
1,1,0.06,0.059674986
1,1,0.19,0.18678872
1,1,0.13,0.124463394
1,1,0.06,0.055255495
1,1,0.13,0.12647592
0,0,0,0.006703947
1,1,0.25,0.25291926
1,1,0.06,0.05068551
0,0,0.01,0.012012545
1,1,0.33,0.3284493
1,1,0.43,0.4215663
1,1,0.12,0.123505846
1,1,0.17,0.16559006
1,1,0.13,0.12626682
1,1,0.18,0.18007109
1,1,0.42,0.4224156
1,1,0.4,0.39569926
0,0,0.03,0.036977436
1,1,0.11,0.10581423
1,1,0.08,0.07633425
1,1,0.16,0.16434228
1,1,0.51,0.50713545
1,1,0.03,0.030136615
1,1,0.15,0.1467864
1,1,0.08,0.082516074
1,1,0.08,0.07880726
1,1,0.07,0.06809823
1,1,0.18,0.17863435
1,1,0.09,0.08856918
1,1,0.31,0.30808145
1,1,0.11,0.10608837
1,1,0.38,0.38512218
0,0,0.05,0.048717324
1,1,0.6,0.5985702
1,1,0.19,0.18964934
0,0,0.01,0.01191758
0,0,0,0.006852448
1,1,0.25,0.25223058
1,1,0.08,0.074871674
1,1,0.09,0.10172562
1,1,0.06,0.062037006
1,1,0.09,0.086971626
1,1,0.06,0.057275683
0,0,0.04,0.0378594
1,1,0.1,0.10205148
0,0,0.04,0.035994127
1,1,0.23,0.22725163
0,0,0.03,0.028552007
0,0,0.02,0.023177244
1,1,0.13,0.133695
1,1,0.33,0.33136678
0,0,0,0.00536374
0,0,0.02,0.019184912
1,1,0.26,0.2618423
0,0,0.02,0.024401717
1,1,0.23,0.23229916
1,1,0.13,0.122212216
1,1,0.08,0.079151675
1,1,0.08,0.08240007
1,1,0.27,0.26910388
1,1,0.11,0.10849202
1,1,0.19,0.18729915
0,0,0.01,0.012387469
1,1,0.93,0.9334727
1,1,0.22,0.22234286
1,1,0.08,0.082145795
1,1,0.12,0.12363303
1,1,0.08,0.07472049
1,1,0.14,0.14033218
1,1,0.08,0.07480016
1,1,0.08,0.0784536
1,1,0.2,0.20138702
0,0,0.01,0.015848536
1,1,0.06,0.061964884
1,1,0.7,0.6967286
1,1,0.11,0.10745989
1,1,0.16,0.1657824
0,0,0.03,0.027871404
1,1,0.16,0.1554717
1,1,0.11,0.10973762
1,1,0.79,0.7802777
1,1,0.2,0.20262595
0,0,0,0.003721915
1,1,2.05,2.0433068
1,1,0.06,0.055008695
1,1,4.2,4.2141953
1,1,0.1,0.09966682
1,1,0.13,0.12933558
0,0,0.02,0.017910887
0,0,0.02,0.023514416
1,1,0.13,0.1272764
1,1,0.41,0.40648955
1,1,0.14,0.13886103
1,1,0.05,0.051273525
1,1,0.74,0.7379045
1,1,0.76,0.76035124
1,1,0.13,0.13187703
1,1,0.6,0.59727556
1,1,0.08,0.07748616
0,0,0.04,0.039061744
1,1,0.08,0.078032
1,1,0.08,0.07925454
1,1,0.04,0.034052834
1,1,1.19,1.1918298
0,0,0.04,0.038516168
0,0,0,0.004500579
1,1,0.12,0.12162505
1,1,0.47,0.4676472
1,1,0.09,0.094554156
1,1,0.06,0.062278256
1,1,1.12,1.1204448
1,1,0.12,0.11319779
0,0,0.03,0.029185042
1,1,0.15,0.14458106
0,0,0,0.006875254
0,0,0.03,0.03475246
1,1,0.1,0.102455676
1,1,0.1,0.100030705
0,0,0.01,0.008369051
0,0,0,0.011270434
1,1,0.07,0.071890905
1,1,0.09,0.08522782
1,1,0.08,0.07322702
1,1,0.75,0.7535006
1,1,0.2,0.20137906
1,1,0.08,0.082151905
1,1,0.03,0.025477424
0,0,0.02,0.023554852
1,1,0.14,0.13907136
1,1,0.13,0.12820308
1,1,0.12,0.11966987
0,0,0.02,0.020710655
1,1,0.45,0.4514048
0,0,0.01,0.010521378
0,0,0,0.00588911
0,0,0.05,0.047301225
1,1,0.21,0.21085362
0,0,0.03,0.03552016
0,0,0.02,0.019495234
0,0,0.04,0.040469617
1,1,0.76,0.76161563
1,1,0.26,0.26032084
0,0,0.05,0.04705282
1,1,1.75,1.753863
1,1,0.18,0.1891957
0,0,0.04,0.038554378
1,1,0.35,0.35135007
1,1,0.81,0.806938
1,1,0.11,0.10739516
1,1,0.08,0.07519652
1,1,0.11,0.10675621
1,1,0.04,0.036308564
1,1,2.1,2.1072514
0,0,0.01,0.020493947
1,1,0.17,0.16918428
0,0,0,0.0100106
0,0,0,0.002590753
0,0,0.03,0.029732332
1,1,0.1,0.09568821
1,1,0.15,0.15023892
0,0,0.05,0.042996906
1,1,0.07,0.06469402
1,1,0.17,0.16960238
1,1,0.07,0.066130616
1,1,0.48,0.4827162
1,1,0.59,0.5861142
1,1,0.09,0.0865944
1,1,0.05,0.04847931
0,0,0.01,0.013970178
0,0,0.05,0.0499536
1,1,0.4,0.4009925
1,1,0.06,0.056351826
1,1,0.15,0.14836024
1,1,0.12,0.11678006
1,1,0.19,0.19053452
1,1,0.12,0.113756
0,0,0.01,0.019521665
1,1,0.08,0.07462144
1,1,0.16,0.16550876
0,0,0.05,0.04751137
1,1,0.05,0.04427357
1,1,0.08,0.08320221
1,1,0.1,0.10062532
1,1,0.47,0.46978158
1,1,0.08,0.0815489
1,1,0.72,0.7247078
1,1,0.08,0.07951386
1,1,0.14,0.13996089
1,1,0.18,0.17788413
1,1,0.09,0.0836238
0,0,0.02,0.02523651
1,1,0.15,0.14545985
1,1,0.34,0.33807355
0,0,0.03,0.028122157
1,1,0.19,0.1853993
1,1,0.06,0.05583276
1,1,0.13,0.12411575
1,1,0.14,0.13358636
1,1,0.06,0.05048623
0,0,0.03,0.026907083
1,1,0.06,0.07089612
0,0,0.01,0.013938151
1,1,0.09,0.08668174
1,1,0.84,0.83864635
1,1,0.2,0.1962768
1,1,0.97,0.9680599
0,0,0.05,0.04820949
1,1,0.04,0.041569654
1,1,0.13,0.12238075
1,1,0.09,0.094404474
0,0,0.03,0.02654201
1,1,0.09,0.090268
1,1,0.26,0.26213425
1,1,0.37,0.3656416
1,1,0.07,0.07230416
1,1,0.21,0.21264301
1,1,0.13,0.12404838
0,0,0.05,0.04969075
0,0,0,0.010662101
0,0,0.05,0.043632638
1,1,0.07,0.06950506
1,1,0.13,0.13141705
1,1,0.55,0.54704124
1,1,0.97,0.97058034
1,1,1,1.0011246
1,1,1.58,1.5795392
0,0,0.02,0.02010497
0,0,0.01,0.011404801
1,1,0.16,0.16208203
0,0,0.03,0.02703201
1,1,0.12,0.12145318
1,1,0.53,0.53286135
1,1,0.2,0.20607133
1,1,0.06,0.06215161
1,1,0.09,0.0875248
1,1,0.12,0.11432578
1,1,0.07,0.06959
1,1,0.07,0.079993054
0,0,0.02,0.019396592
1,1,1.62,1.6223387
0,0,0.05,0.044142846
1,1,0.06,0.059265554
1,1,0.13,0.1337238
0,0,0,0.01535324
0,0,0.03,0.028744878
1,1,0.16,0.15709664
0,0,0,0.011189863
0,0,0,0.007758796
1,1,0.14,0.14321546
0,0,0,0.006537847
0,0,0.03,0.028131384
1,1,0.11,0.11209999
1,1,0.04,0.041575626
1,1,0.06,0.062346578
1,1,0.12,0.12082337
0,0,0.04,0.03777139
1,1,0.75,0.7526053
1,1,0.08,0.07820171
1,1,0.17,0.17193681
0,0,0.01,0.010816965
1,1,0.09,0.090510204
1,1,0.13,0.12993337
1,1,0.09,0.08743046
0,0,0.05,0.051698916
1,1,0.42,0.41576684
1,1,0.08,0.07750139
1,1,3.08,3.0866222
1,1,0.09,0.09119797
1,1,0.14,0.1398177
0,0,0.04,0.03624461
1,1,0.18,0.18408482
1,1,0.44,0.4412309
0,0,0.02,0.023565104
1,1,0.22,0.21602638
0,0,0.04,0.040935647
1,1,0.12,0.12265529
1,1,1.04,1.0413555
1,1,0.1,0.09850077
0,0,0.04,0.037569027
1,1,0.29,0.2918564
1,1,0.18,0.18125995
1,1,0.06,0.06275289
1,1,0.22,0.22274357
1,1,0.12,0.116049275
1,1,0.06,0.06447323
1,1,0.31,0.313897
1,1,0.09,0.08036198
1,1,0.12,0.11995368
1,1,0.19,0.18560441
1,1,0.17,0.17413549
1,1,0.12,0.11880502
1,1,0.55,0.5514677
0,0,0.04,0.040316295
1,1,0.56,0.5581998
1,1,0.07,0.0664441
1,1,0.07,0.088187024
0,0,0,0.003506064
1,1,0.07,0.066262916
1,1,0.05,0.051084816
1,1,0.1,0.101265565
1,1,0.28,0.2789747
0,0,0.02,0.021850687
0,0,0.02,0.022366507
1,1,0.06,0.058882974
1,1,0.17,0.16728821
1,1,0.15,0.15062186
0,0,0,0.005036861
1,1,0.13,0.13420147
1,1,0.15,0.1508947
1,1,0.17,0.167522
1,1,0.16,0.15583755
1,1,0.24,0.2365766
0,0,0.02,0.023252672
0,0,0.01,0.011599951
0,0,0.02,0.021600258
1,1,1.04,1.0393555
1,1,0.07,0.07438244
1,1,0.11,0.1074155
1,1,0.25,0.24844052
1,1,0.44,0.43255943
1,1,0.07,0.06927978
1,1,0.06,0.06278029
1,1,0.09,0.09171121
0,0,0,0.012801901
1,1,0.08,0.0778006
1,1,0.31,0.3096789
0,0,0.03,0.03420034
1,1,0.13,0.12977816
1,1,0.48,0.47686183
0,0,0.02,0.020153044
0,0,0,0.001674559
1,1,0.08,0.07531132
0,0,0.02,0.020311642
1,1,0.07,0.075020924
1,1,0.11,0.10872811
1,1,0.11,0.112181485
1,1,0.25,0.24804294
1,1,0.1,0.10071741
0,0,0.04,0.042671528
1,1,0.39,0.38381672
1,1,0.09,0.091260254
1,1,0.09,0.08093132
1,1,0.08,0.07273005
1,1,0.36,0.35970104
1,1,0.11,0.1070831
1,1,0.09,0.090350404
1,1,0.2,0.19502597
1,1,0.56,0.5623664
1,1,0.29,0.28803122
0,0,0.03,0.030605614
0,0,0.02,0.021587787
1,1,0.15,0.15344872
1,1,0.09,0.089088604
0,0,0.04,0.0363232
1,1,0.18,0.17945364
1,1,0.07,0.06626253
1,1,0.1,0.09969114
1,1,0.05,0.053703822
1,1,0.14,0.13401788
1,1,0.07,0.07238023
0,0,0,0.007552981
1,1,0.65,0.6490933
1,1,0.1,0.103931114
0,0,0.02,0.020432396
1,1,0.1,0.09770717
1,1,0.09,0.087627396
1,1,0.29,0.28968006
1,1,0.1,0.0991409
0,0,0.02,0.023685873
1,1,0.51,0.5070208
0,0,0.04,0.04160721
1,1,0.2,0.1981313
1,1,0.06,0.06328784
0,0,0.05,0.04717912
1,1,0.13,0.13248877
1,1,0.1,0.09293297
1,1,0.09,0.088313535
1,1,0.22,0.21610856
0,0,0,0.00538867
1,1,0.09,0.089931965
0,0,0.03,0.026643751
1,1,0.08,0.08457896
0,0,0.03,0.028417418
0,0,0.04,0.037708603
1,1,0.11,0.10990994
0,0,0,0.009470947
1,1,0.22,0.21943705
1,1,0.08,0.08040723
1,1,0.18,0.16881578
1,1,0.17,0.17412303
1,1,0.07,0.068414666
1,1,0.51,0.5088119
1,1,0.12,0.1164756
1,1,0.06,0.059195906
1,1,0.39,0.3939309
1,1,0.86,0.8582032
1,1,0.11,0.10503119
1,1,0.07,0.07194067
1,1,0.92,0.9254036
1,1,0.48,0.48237377
1,1,0.75,0.7514614
0,0,0.04,0.038821016
1,1,0.82,0.82088554
0,0,0.01,0.006871656
1,1,0.08,0.08312778
1,1,0.19,0.1913609
1,1,0.1,0.09746976
1,1,0.08,0.076542184
1,1,0.05,0.053781047
1,1,0.14,0.13717486
1,1,0.06,0.059283897
1,1,0.07,0.06835292
1,1,0.19,0.18464813
1,1,0.19,0.1854472
1,1,0.14,0.13437934
1,1,0.18,0.17903174
1,1,0.26,0.25723058
1,1,0.14,0.1434183
1,1,1.71,1.7047613
1,1,0.34,0.3401127
1,1,0.41,0.41274905
0,0,0.05,0.0506325
1,1,0.16,0.15344176
1,1,0.12,0.113414034
1,1,0.22,0.213751
1,1,0.12,0.11686002
1,1,0.7,0.6963135
1,1,0.64,0.63510627
1,1,0.17,0.16645573
1,1,0.06,0.052705854
1,1,0.07,0.06462519
1,1,0.11,0.1082069
0,0,0.02,0.014688484
1,1,0.06,0.05588579
1,1,0.06,0.062652044
0,0,0.02,0.019250588
0,0,0.04,0.03891323
1,1,0.09,0.090883255
1,1,0.18,0.18305655
1,1,0.32,0.31977272
1,1,0.15,0.14636675
1,1,0.19,0.19156502
1,1,0.47,0.46782792
1,1,0.28,0.27798218
0,0,0,0.005384281
1,1,0.18,0.18079832
1,1,0.07,0.073911175
0,0,0.01,0.014676183
1,1,0.07,0.07248285
1,1,0.52,0.51440525
0,0,0.02,0.022416133
0,0,0.03,0.028660782
0,0,0,0.004050612
1,1,0.11,0.10946904
0,0,0.02,0.021916818
1,1,1.19,1.1915585
0,0,0.04,0.04196264
1,1,0.06,0.061944827
1,1,0.15,0.14575726
0,0,0.05,0.04443266
1,1,0.27,0.2707973
1,1,0.4,0.39655077
1,1,0.06,0.06092061
1,1,0.54,0.54235935
0,0,0.04,0.040974256
1,1,0.05,0.051043354
1,1,0.55,0.54875094
0,0,0.03,0.030586552
1,1,0.06,0.06395444
1,1,0.13,0.12353657
0,0,0.05,0.04845009
0,0,0.05,0.0472409
0,0,0.02,0.024887396
1,1,0.13,0.12795526
1,1,0.15,0.15571982
1,1,0.04,0.033275157
1,1,0.1,0.098643824
1,1,0.08,0.07944243
1,1,0.06,0.06386608
0,0,0.01,0.013476688
0,0,0.03,0.031306207
1,1,0.45,0.4508074
0,0,0.01,0.012928471
0,0,0.01,0.018259786
1,1,0.14,0.13639587
1,1,0.05,0.050000146
1,1,0.06,0.072554946
0,0,0.03,0.02948627
1,1,0.07,0.065706044
1,1,0.08,0.0758736
0,0,0.02,0.021811299
1,1,0.17,0.17046456
1,1,0.25,0.24924995
1,1,0.08,0.08259198
1,1,0.22,0.21914352
1,1,0.08,0.073679104
0,0,0.01,0.007814914
1,1,0.15,0.15623339
1,1,0.1,0.09391594
1,1,3,3.0055294
1,1,1.17,1.173937
0,0,0.04,0.03529707
1,1,0.46,0.45884454
0,0,0.02,0.024578458
1,1,0.08,0.07964413
1,1,0.06,0.059002057
1,1,0.22,0.21927969
1,1,0.3,0.29627225
0,0,0.02,0.016747471
0,0,0.03,0.032117266
1,1,0.19,0.19023591
0,0,0.02,0.024110459
1,1,0.4,0.40240455
1,1,0.18,0.18066393
1,1,0.19,0.18637204
1,1,0.19,0.18820049
0,0,0,0.018704604
0,0,0.02,0.021811044
0,0,0.02,0.024384838
0,0,0.05,0.048333973
1,1,0.17,0.17410418
1,1,0.24,0.2438093
0,0,0.02,0.020451125
1,1,0.05,0.05698496
1,1,0.27,0.26729566
1,1,0.18,0.17948909
0,0,0.05,0.04947184
0,0,0.05,0.048640914
0,0,0.04,0.04132644
1,1,0.1,0.09685801
0,0,0.03,0.0282345
1,1,0.18,0.18311112
1,1,0.29,0.2902724
1,1,0.06,0.052413985
1,1,0.08,0.07263848
0,0,0.01,0.01735883
1,1,0.38,0.3786894
0,0,0.02,0.03019427
1,1,0.69,0.6942342
0,0,0.04,0.035976745
1,1,0.11,0.108591735
1,1,0.06,0.0649341
1,1,0.24,0.24178423
1,1,0.41,0.40334433
1,1,0.07,0.0672531
1,1,0.09,0.08954431
1,1,0.27,0.26978344
1,1,0.06,0.05186813
1,1,0.12,0.115549654
1,1,0.06,0.05384566
1,1,0.04,0.033087626
0,0,0.02,0.023279855
1,0,0.02,0.037853323
1,1,0.1,0.09536943
1,1,2.72,2.7107863
1,1,0.44,0.44054914
1,1,0.14,0.1460649
0,0,0,0.005457632
1,1,0.07,0.06633353
0,0,0.03,0.028620899
1,1,0.1,0.102460325
1,1,0.17,0.16907848
1,1,0.07,0.07147215
1,1,0.09,0.081553355
1,1,0.43,0.4361168
1,1,0.07,0.06582405
1,1,0.17,0.1673644
1,1,0.2,0.20105638
1,1,0.06,0.060341083
1,1,1.48,1.4837862
1,1,0.07,0.06706403
1,1,0.1,0.093490526
0,0,0,0.004106082
0,0,0.02,0.020603165
0,0,0,0.004598957
1,1,0.2,0.20004365
1,1,0.12,0.11407298
1,1,0.09,0.08943473
1,1,0.15,0.1490025
1,1,0.47,0.46691442
1,1,0.19,0.19103092
1,1,0.06,0.058323905
0,0,0.05,0.04738949
1,1,0.1,0.09269385
1,1,0.17,0.16682577
0,0,0.04,0.035565954
1,1,0.53,0.53113526
1,1,0.18,0.1774398
1,1,0.09,0.08875935
1,1,0.1,0.10071576
0,0,0.02,0.023945428
1,1,0.07,0.080534115
0,0,0.01,0.013249904
1,1,0.06,0.060788825
0,0,0.04,0.042236194
1,1,0.04,0.036595322
0,0,0.05,0.04647023
0,0,0.03,0.028680222
1,1,0.14,0.13835357
0,0,0.03,0.031074282
0,0,0.04,0.046084024
1,1,0.06,0.056294277
1,1,0.11,0.110253334
0,0,0.02,0.020889949
0,0,0.02,0.023187002
1,1,0.09,0.09239672
1,1,0.09,0.08447533
1,1,0.18,0.1855234
0,0,0.04,0.038285244
1,1,0.08,0.0781316
1,1,0.22,0.21881752
1,1,0.49,0.4931414
1,1,0.17,0.1680003
1,1,0.14,0.13706343
1,1,0.11,0.10813676
1,1,0.12,0.1188042
1,1,0.05,0.038789798
1,1,0.11,0.10435809
0,0,0.05,0.05065297
1,1,0.2,0.20347895
1,1,0.07,0.06873192
1,1,0.09,0.09104035
1,1,0.03,0.028069828
1,1,0.11,0.10727203
1,1,0.21,0.20591639
1,1,0.11,0.10900737
0,0,0.05,0.046524074
1,1,0.08,0.07782931
1,1,0.16,0.1602964
1,1,0.07,0.06438832
0,0,0.02,0.022172887
1,1,0.68,0.67829394
1,1,0.32,0.31825644
1,1,0.22,0.21627021
0,0,0.01,0.015533008
0,0,0.03,0.030383334
1,1,0.31,0.30685872
1,1,1,0.9986684
1,1,0.14,0.14528504
0,0,0,0.010395911
1,1,0.11,0.1098295
1,1,0.17,0.17787005
1,1,0.56,0.5611932
1,1,0.1,0.10168289
1,1,0.08,0.07521479
1,1,0.09,0.084387526
1,1,0.11,0.107409686
1,1,0.17,0.16712704
1,1,0.09,0.08696598
1,1,0.08,0.07705788
1,1,2.12,2.1263568
0,0,0,0.004963838
0,0,0,0.002912335
1,1,0.16,0.16203232
1,1,0.09,0.08343695
1,1,0.03,0.032431737
0,0,0.03,0.025274249
1,1,0.12,0.11794777
0,0,0.04,0.03967503
1,1,0.06,0.052747443
1,1,0.23,0.23011084
1,1,0.06,0.05083159
1,1,0.7,0.6985378
1,1,0.19,0.18778807
1,1,0.09,0.088753626
1,1,0.06,0.06066089
1,1,0.18,0.17487793
1,1,0.15,0.15353106
0,0,0.01,0.013361648
1,1,0.07,0.0783049
0,0,0.03,0.028007314
1,1,0.1,0.10181661
0,0,0.04,0.037870586
1,1,0.11,0.10409874
1,1,0.1,0.09692703
1,1,0.09,0.09169008
1,1,0.09,0.092353284
1,1,0.06,0.05959394
1,1,0.24,0.23963493
1,1,0.06,0.055283204
1,1,0.1,0.103737876
1,1,0.23,0.22859666
1,1,0.11,0.10737142
1,1,0.09,0.08942188
1,1,0.07,0.06542075
1,1,0.15,0.15230972
0,0,0.04,0.040754206
1,1,0.09,0.09350106
1,1,0.11,0.10054557
0,0,0.02,0.021985985
1,1,0.06,0.055600293
1,1,0.09,0.09400034
1,1,0.1,0.09841502
1,1,0.08,0.0831189
1,1,0.71,0.7119489
1,1,0.16,0.15428242
1,1,0.14,0.14434429
1,1,0.62,0.62264496
0,0,0.01,0.01850188
1,1,0.07,0.07149096
1,1,0.07,0.06963174
1,1,0.37,0.3647762
1,1,0.39,0.39676595
0,0,0.03,0.028212596
0,0,0.03,0.027238801
1,1,0.32,0.3221144
1,1,0.06,0.062637076
1,1,0.32,0.31687146
1,1,0.46,0.45941627
1,1,0.31,0.3126309
0,0,0.03,0.031503044
1,1,0.55,0.55245775
1,1,0.19,0.18664046
1,1,0.22,0.21855855
1,1,0.16,0.16082118
1,1,0.07,0.07578795
1,1,0.31,0.31043082
1,1,0.07,0.0699192
1,1,0.06,0.0531428
1,1,0.11,0.111392036
1,1,0.07,0.07027234
0,0,0.03,0.034067124
1,1,0.11,0.104859635
1,1,0.24,0.23750892
1,1,0.27,0.27163786
0,0,0.02,0.014561411
0,0,0.03,0.029635563
1,1,0.07,0.06338675
1,1,0.18,0.169039
1,1,0.42,0.4196592
1,1,0.18,0.18076317
1,1,0.16,0.16056404
1,1,0.18,0.18368936
1,1,0.17,0.1680869
1,1,1.19,1.1909099
1,1,0.17,0.16602893
1,1,0.2,0.2034991
1,1,0.14,0.12869556
1,1,0.08,0.08161639
0,0,0.04,0.03480565
1,1,0.16,0.15717588
1,1,0.32,0.3218866
1,1,0.32,0.32153946
1,1,0.2,0.19212167
1,1,0.41,0.40938967
1,1,0.07,0.08412373
1,1,0.1,0.10313968
1,1,0.14,0.14153449
1,1,0.19,0.18533611
1,1,0.08,0.07576696
1,1,0.09,0.08694948
1,1,0.16,0.15589331
1,1,0.91,0.9059269
1,1,0.21,0.21123375
0,0,0.01,0.01230444
1,1,0.1,0.101804
1,1,0.12,0.12054254
1,1,0.06,0.06813027
1,1,0.17,0.16905792
0,0,0.03,0.031158509
1,1,0.04,0.036151648
1,1,0.13,0.12909603
0,0,0.02,0.018809102
1,1,0.14,0.13980018
1,1,0.13,0.128011
1,1,0.16,0.16035075
1,1,0.14,0.13361032
1,1,0.34,0.3381698
1,1,0.16,0.15486296
1,1,0.09,0.080139324
0,0,0.04,0.040306125
1,1,0.06,0.060288176
1,1,1.39,1.3905715
0,0,0.02,0.02004889
1,1,0.13,0.12663431
0,0,0.03,0.030802233
1,1,0.08,0.08227314
1,1,0.13,0.1300392
0,0,0.02,0.022163311
0,0,0.01,0.01352109
1,1,0.14,0.14588071
1,1,0.07,0.07285954
1,1,0.1,0.09370454
1,1,0.06,0.05373112
1,1,0.22,0.21740447
0,0,0.04,0.04072241
1,1,0.13,0.13888519
1,1,0.63,0.63274294
0,0,0.01,0.013144624
1,1,0.12,0.11920932
1,1,0.26,0.26057148
0,0,0.04,0.037756912
0,0,0.01,0.015224669
1,1,0.07,0.067048006
1,1,0.06,0.053682283
1,1,0.12,0.1165977
0,0,0.04,0.035430998
1,1,0.06,0.054727532
1,1,0.08,0.07925917
1,1,0.06,0.06252053
1,1,0.33,0.32347572
0,0,0,0.013024863
0,0,0.03,0.03300279
0,0,0.01,0.006589092
1,1,0.27,0.2713219
1,1,0.08,0.07607873
0,0,0.04,0.033618666
1,1,0.14,0.13246149
0,0,0.01,0.013047647
0,0,0.05,0.051393602
0,0,0.03,0.028954303
1,1,0.05,0.05008775
1,1,0.09,0.084866926
1,1,0.06,0.059195384
1,1,0.03,0.027728602
0,0,0.03,0.033135343
1,1,0.29,0.29304266
1,1,0.09,0.08837439
1,1,0.38,0.37896413
1,1,0.07,0.06338694
1,1,0.17,0.17424588
1,1,0.28,0.27847838
1,1,0.1,0.09971695
0,0,0.01,0.006078146
1,1,0.33,0.32995445
0,0,0.03,0.02966161
1,1,0.33,0.33086705
1,1,0.11,0.10096376
1,1,0.18,0.18017016
1,1,0.46,0.45527178
1,1,0.1,0.10370208
0,0,0.02,0.018861542
1,1,0.34,0.34127444
1,1,0.08,0.08221613
0,0,0.01,0.015237764
1,1,0.11,0.1054299
0,0,0.04,0.03788828
1,1,0.25,0.24633718
1,1,0.14,0.13741492
1,1,0.24,0.23768513
1,1,0.24,0.23976654
1,1,0.09,0.08780567
1,1,0.12,0.11897957
1,1,0.17,0.16578774
0,0,0.02,0.02384404
1,1,0.18,0.18424882
1,1,1.2,1.2006209
1,1,0.11,0.11282368
1,1,0.1,0.097960964
1,1,0.3,0.29910785
1,1,0.24,0.24190423
1,1,0.09,0.090630844
1,1,0.06,0.04892662
1,1,0.75,0.74761677
0,0,0.02,0.02482533
1,1,0.34,0.33942127
1,1,0.59,0.5916618
1,1,0.19,0.18637578
1,1,0.15,0.14609063
1,1,0.33,0.32699627
1,1,0.17,0.17035963
1,1,0.09,0.08398755
1,1,0.06,0.060037665
1,1,0.07,0.06298427
1,1,0.4,0.39762765
1,1,0.21,0.20906761
1,1,0.05,0.04942274
0,0,0.03,0.026827116
1,1,0.21,0.2114005
1,1,0.06,0.07075528
1,1,0.13,0.12519135
1,1,0.06,0.06430577
1,1,0.07,0.06974761
1,1,1.47,1.4721752
0,0,0,0.007138886
1,1,0.06,0.06271566
0,0,0.01,0.012527887
1,1,0.07,0.07150778
1,1,0.3,0.29808742
1,1,0.27,0.2710247
1,1,0.17,0.1704066
0,0,0.03,0.02690776
1,1,0.31,0.3071381
1,1,0.14,0.1408295
0,0,0.02,0.018584363
0,0,0,0.014309213
1,1,1.24,1.2409651
0,0,0.01,0.011625059
1,1,0.18,0.17778881
0,0,0,0.013683595
1,1,0.09,0.0774108
0,0,0.03,0.026098121
1,1,0.23,0.23214374
1,1,0.12,0.12157771
1,1,0.09,0.09039834
1,1,0.54,0.5388031
0,0,0.05,0.0492702
1,1,0.11,0.107376695
1,1,0.12,0.12264423
1,1,0.09,0.08954871
1,1,0.35,0.3472473
1,1,0.06,0.049162515
1,1,0.33,0.32763213
1,1,0.09,0.08234309
1,1,0.15,0.1540444
1,1,1.29,1.2920831
1,1,0.1,0.10223435
1,1,0.17,0.17442201
0,0,0.04,0.040194828
1,1,0.06,0.06251988
1,1,0.08,0.0824229
1,1,0.29,0.28700203
1,1,1.1,1.1014242
1,1,0.68,0.68362343
0,0,0.03,0.0290393
1,1,0.23,0.23001368
0,0,0.02,0.019267954
1,1,0.23,0.22865683
1,1,0.07,0.09727294
1,1,0.13,0.12952773
1,1,0.14,0.13164927
0,0,0.05,0.051011458
1,1,0.14,0.13657679
1,1,2.73,2.7381687
1,1,0.09,0.086627275
1,1,0.09,0.09593944
1,1,0.25,0.25039232
1,1,0.11,0.10705656
0,0,0.01,0.012925416
0,0,0.05,0.050128542
1,1,0.62,0.6185535
1,1,0.09,0.07754408
1,1,0.2,0.18508993
1,1,0.1,0.09135391
0,0,0.02,0.01861715
1,1,0.07,0.06882226
1,1,0.11,0.106011346
0,0,0.02,0.023644492
1,1,0.09,0.08506465
1,1,0.15,0.14795235
1,1,1.53,1.5257921
1,1,0.3,0.3004563
1,1,0.16,0.15542223
1,1,0.09,0.08817861
1,1,1.14,1.1395589
0,0,0.04,0.0446447
1,1,0.32,0.31672937
1,1,1.11,1.1101997
1,1,0.14,0.13362859
1,1,0.08,0.075669214
1,1,0.25,0.25240684
1,1,0.16,0.15761651
1,1,0.06,0.058144927
1,1,0.12,0.118844464
1,1,0.13,0.13165502
0,0,0.04,0.037749443
1,1,0.39,0.39069718
1,1,0.51,0.5047221
1,1,0.11,0.1068607
0,0,0,-0.000447404
